"订单编号","支付类型","操作人","总价","减免金额","实付款"
"seek0120161016025",,"frank",30,0,30
"seek0120161016024","现金支付","frank",42,21,21
"seek0120161016023","现金支付","frank",59,5.900000000000006,53
"seek0120161016022","现金支付","frank",23,0,23
"seek0120161016021","现金支付","frank",21,0,21
"seek0120161016020","现金支付","frank",44,0,44
"seek0120161016019","现金支付","frank",44,0,44
"seek0120161016018","现金支付","frank",21,0,21
"seek0120161016014","现金支付","frank",21,0,21
"seek0120161016011","现金支付","frank",21,0,21
"seek0120161016009","现金支付","frank",23,0,23
"seek0120161016008","现金支付","frank",21,0,21
"seek0120161016006","现金支付","frank",44,0,44
"seek0120161016005","现金支付","frank",21,0,21
"seek0120161016004","现金支付","frank",44,0,44
"seek0120161016002","现金支付","frank",44,0,44
"seek0120161016001","现金支付","frank",21,0,21
