"时间","订单编号","总价","应收","次卡","挂帐金额","实收"
"2016年10月25日","seek0120161025011",29,29,0,0,29
"2016年10月25日","seek0120161025010",45,45,0,0,45
"2016年10月25日","seek0120161025009",45,0,45,0,0
"2016年10月25日","seek0120161025008",21,21,0,0,21
"2016年10月25日","seek0120161025007",21,18.9,0,0,18.9
"2016年10月25日","seek0120161025006",45,45,0,0,45
"2016年10月24日","seek0120161024004",81,81,,0,81
"2016年10月24日","seek0120161024003",45,45,,0,45
"2016年10月24日","seek0120161024002",21,21,,0,21
"2016年10月24日","seek0120161024001",21,21,,0,21
"2016年10月18日","seek0120161018006",81,81,,0,81
"2016年10月18日","seek0120161018005",113,113,,0,113
"2016年10月18日","seek0120161018004",46,46,,0,46
"2016年10月18日","seek0120161018003",59,59,,0,59
"2016年10月18日","seek0120161018002",53,32,,21,32
"2016年10月18日","seek0120161018001",57,57,,0,57
"2016年10月17日","seek0120161017009",29,6,,23,6
"2016年10月17日","seek0120161017008",23,0,,23,0
"2016年10月17日","seek0120161017007",29,0,,29,0
"2016年10月17日","seek0120161017006",23,0,,23,0
"2016年10月17日","seek0120161017005",23,20.7,,0,20.7
"2016年10月17日","seek0120161017004",23,23,,0,23
"2016年10月17日","seek0120161017003",23,23,,0,23
"2016年10月17日","seek0120161017002",23,23,,0,23
"2016年10月15日","seek0120161015028",46,46,,,46
"2016年10月15日","seek0120161015027",29,29,,,29
"2016年10月15日","seek0120161015026",18,18,,,18
"2016年10月15日","seek0120161015025",23,23,,,23
"2016年10月15日","seek0120161015024",6,6,,,6
"2016年10月15日","seek0120161015023",23,23,,,23
"2016年10月15日","seek0120161015022",69,69,,,69
"2016年10月15日","seek0120161015021",23,23,,,23
"2016年10月15日","seek0120161015020",6,6,,,6
"2016年10月15日","seek0120161015019",52,52,,,52
"2016年10月15日","seek0120161015018",23,23,,,23
"2016年10月15日","seek0120161015017",23,23,,,23
"2016年10月15日","seek0120161015016",23,23,,,23
"2016年10月15日","seek0120161015015",23,23,,,23
"2016年10月15日","seek0120161015014",23,23,,,23
"2016年10月15日","seek0120161015013",23,23,,,23
"2016年10月15日","seek0120161015012",29,29,,,29
"2016年10月15日","seek0120161015011",52,46.800000000000004,,,46.800000000000004
"2016年10月14日","seek0120161014010",23,23,,,23
"2016年10月14日","seek0120161014009",23,23,,,23
"2016年10月14日","seek0120161014008",23,23,,,23
"2016年10月14日","seek0120161014007",23,23,,,23
"2016年10月14日","seek0120161014006",23,23,,,23
"2016年10月14日","seek0120161014005",23,23,,,23
"2016年10月14日","seek0120161014004",23,23,,,23
"2016年10月14日","seek0120161014003",23,23,,,23
"2016年10月14日","seek0120161014002",23,23,,,23
"2016年10月14日","seek0120161014001",23,23,,,23
"2016年10月13日","seek0120161013008",23,20.7,,,20.7
"2016年10月13日","seek0120161013007",23,23,,,23
"2016年10月13日","seek0120161013006",23,23,,,23
"2016年10月13日","seek0120161013005",23,23,,,23
"2016年10月13日","seek0120161013004",23,23,,,23
"2016年10月13日","seek0120161013003",6,6,,,6
"2016年10月13日","seek0120161013002",23,23,,,23
"2016年10月13日","seek0120161013001",29,29,,,29
