"时间","订单编号","总价","优惠","次卡","挂帐金额","现金","微信","支付宝","刷卡","校园卡","会员卡","应收","抹零","充值金额","充值赠送","实收"
"2016-12-23","seek022554664235292138",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2016-12-23","seek026577681135818990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-12-23","seek0212981192482267956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-12-23","seek025660324573633047",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-23","seek02751111883694594",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-23","seek0210693408902524664",26,0,0,0,0,26,0,0,0,0,26,0,0,0,26
"2016-12-23","seek0220161223001",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2016-12-22","seek0220161222010",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-22","seek026934354884831438",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-22","seek027043985612317233",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-22","seek028614715690356156",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-22","123742323041421",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-22","123742323241421",36,0,0,0,0,36,0,0,0,0,36,0,0,0,36
"2016-12-22","12324123241421",36,0,0,0,0,36,0,0,0,0,36,0,0,0,36
"2016-12-21","1232412341421",83,0,0,0,0,83,0,0,0,0,83,0,0,0,83
"2016-12-20","seek0220161220009",36,0,0,0,36,0,0,0,0,0,36,0,0,0,36
"2016-12-20","seek0220161220008",290,0,0,0,290,0,0,0,0,0,290,0,0,0,290
"2016-12-20","seek0220161220007",24,0,0,0,24,0,0,0,0,0,24,0,0,0,24
"2016-12-20","seek0220161220006",126,0,0,0,126,0,0,0,0,0,126,0,0,0,126
"2016-12-20","seek0220161220005",18.05,0,0,0,18.05,0,0,0,0,0,18.05,0,0,0,18.05
"2016-12-19","seek0220161219004",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-19","seek0220161219002",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-14","seek0220161214002",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-14","seek0220161214001",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-04","seek0220161204001",36,0,0,0,0,0,0,36,0,0,36,0,0,0,36
"2016-12-03","seek0220161203002",18,0,0,0,18,0,0,,0,0,18,0,0,0,18
"2016-12-03","seek0220161203001",18,0,0,0,18,0,0,,0,0,18,0,0,0,18
