"名称","数量","小计"
"卡布奇诺",1,23
"卡布奇诺",1,20.7
"卡布奇诺",1,20.7
"卡布奇诺",1,20.7
"卡布奇诺",16,331.2
"卡布奇诺",1,23
"拿铁咖啡",8,131.1
"拿铁咖啡",1,23
"拿铁咖啡",1,23
"摩卡咖啡",1,19.95
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",3,63
"摩卡咖啡",1,21
"摩卡咖啡",10,210
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"摩卡咖啡",1,21
"橙汁",1,12
"橙汁",1,10.8
"橙汁",11,125.4
"花菜",1,18.900000000000002
"花菜",1,21
"花菜",1,21
"花菜",1,21
