"时间","名称","折前销售金额","折让金额","折后金额","销售数量"
"咖啡","-","-","-","-","-"
"2017-01-15","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2016-12-31","卡布奇诺","18.00","0.00","18.00",1
"2017-01-02","卡布奇诺","18.00","1.80","16.20",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-02","卡布奇诺","18.00","1.80","16.20",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-02","卡布奇诺","36.00","0.00","36.00",2
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-02","卡布奇诺","18.00","0.00","18.00",1
,"-","-","-","-","-"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","葱花饼","10.00","0.00","10.00","1"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","葱花饼","10.00","0.00","10.00","1"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","葱花饼","10.00","0.00","10.00","1"
"2017-01-03","皮蛋瘦肉粥","20.00","0.00","20.00","2"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","皮蛋瘦肉粥","20.00","0.00","20.00","2"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","皮蛋瘦肉粥","20.00","0.00","20.00","2"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","皮蛋瘦肉粥","10.00","0.00","10.00","1"
"2017-01-03","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-03","牛肉馅饼","14.00","0.00","14.00","1"
"咖啡","-","-","-","-","-"
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-05","卡布奇诺","18.00","18.00","0.00",1
,"-","-","-","-","-"
"2017-01-05",,"NaN","NaN","NaN",
"咖啡","-","-","-","-","-"
"2017-01-06","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
"2017-01-18","卡布奇诺","18.00","0.00","18.00",1
,"-","-","-","-","-"
"2017-01-13","皮蛋瘦肉粥","10.00","0.00","10.00","1"
"2017-01-13","葱花饼","10.00","0.00","10.00","1"
"2017-01-13","八宝酱菜","4.00","0.00","4.00","1"
"咖啡","-","-","-","-","-"
"2017-01-13","卡布奇诺","18.00","0.00","18.00",1
,"-","-","-","-","-"
"2017-01-13","扁豆焖面","14.00","0.00","14.00","1"
"2017-01-13","葱花饼","10.00","0.00","10.00","1"
"2017-01-13","牛肉馅饼","14.00","0.00","14.00","1"
"2017-01-13","皮蛋瘦肉粥","10.00","0.00","10.00","1"
"2017-01-13","葱花饼","10.00","0.00","10.00","1"
"2017-01-13","葱花饼","10.00","0.00","10.00","1"
"2017-01-13","牛肉馅饼","14.00","0.00","14.00","1"
"2017-01-13","皮蛋瘦肉粥套餐","31.00","0.00","31.00","1"
"2017-01-13","牛肉馅饼","14.00","0.00","14.00","1"
"2017-01-13","招牌猪肉白菜锅贴/10个","17.00","0.00","17.00","1"
"2017-01-13","红豆薏米美肤粥","12.00","0.00","12.00","1"
"2017-01-13","八宝酱菜","4.00","0.00","4.00","1"
"2017-01-13","红枣山药糙米粥","10.00","0.00","10.00","1"
"2017-01-13","皮蛋瘦肉粥","10.00","0.00","10.00","1"
"2017-01-13","皮蛋瘦肉粥","10.00","0.00","10.00","1"
"2017-01-13","皮蛋瘦肉粥","10.00","0.00","10.00","1"
