"时间","名称","折前销售金额","折让金额","折后金额","销售数量","分类"
"咖啡","-","-","-","-","-",
"2017-02-13","卡布奇诺","18.00","0.00","18.00",1,"0"
"2017-02-13","卡布奇诺","72.00","0.00","72.00",4,"0"
"2017-02-13","卡布奇诺","18.00","0.00","18.00",1,"0"
"2017-02-13","卡布奇诺","18.00","0.00","18.00",1,"0"
"2017-02-13","拿铁咖啡","18.00","0.00","18.00",1,"0"
"2017-02-13","拿铁咖啡","18.00","0.00","18.00",1,"0"
"2017-02-13","测试咖啡","0.10","0.00","0.10",2,"0"
"2017-02-13","测试咖啡","0.05","0.00","0.05",1,"0"
"2017-02-13","测试咖啡","0.05","0.00","0.05",1,"0"
"小吃","-","-","-","-","-",
"2017-02-13","趣多多","8.00","0.00","8.00",1,"1"
"饮料","-","-","-","-","-",
"2017-02-13","橙汁","12.00","0.00","12.00",1,"2"
"2017-02-13","橙汁","24.00","0.00","24.00",2,"2"
"套餐","-","-","-","-","-",
"2017-02-13","双人套餐","29.00","0.00","29.00",1,"3"
"2017-02-13","双人套餐","58.00","0.00","58.00",2,"3"
"新添分类6","-","-","-","-","-",
"2017-02-13","bbq","12.00","0.00","12.00",1,"4"
"2017-02-13","bbq","24.00","0.00","24.00",2,"4"
"测试分类","-","-","-","-","-",
"2017-02-13","小菜","56.00","0.00","56.00",4,"5"
"2017-02-13","小菜","14.00","0.00","14.00",1,"5"
"新添分类7","-","-","-","-","-",
"2017-02-13","大厦","32.00","0.00","32.00",1,"6"
"2017-02-13","大厦","128.00","0.00","128.00",4,"6"
"合计","-","559.20","0.00","559.20",33,
