"时间","订单编号","总价","优惠","次卡","挂帐金额","现金","微信","支付宝","刷卡","校园卡","会员卡","应收","抹零","充值金额","充值赠送","实收"
"2017-01-03","null14354904128661520",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null9633648136582658",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null4449320196612918",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null11089723948108654",34,0,0,0,0,34,0,0,0,0,34,0,0,0,34
"2017-01-03","null9828730532877146",34,0,0,0,0,34,0,0,0,0,34,0,0,0,34
"2017-01-03","null518600648585862",34,0,0,0,0,34,0,0,0,0,34,0,0,0,34
"2017-01-03","null10154594476498712",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null3598183223104013",14,0,0,0,0,14,0,0,0,0,14,0,0,0,14
"2017-01-02","seek02674_20170102004",76,7.6,0,0,68.4,0,0,0,0,0,68.4,0,0,0,68.4
"2017-01-02","seek02717_20170102003",67,6.7,0,0,60.3,0,0,0,0,0,60.3,0,0,0,60.3
"2017-01-02","seek02400_20170102002",80,0,0,0,80,0,0,0,0,0,80,0,0,0,80
"2017-01-02","seek02166_20170102001",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-05","seek02642_20170105001",36,0,36,0,0,0,0,0,0,0,0,0,0,0,0
"2017-01-05","NaN",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-06","seek02448_20170106002",76,0,0,0,76,0,0,0,0,0,76,0,0,0,76
"2017-01-13","seek02_3718759214363849",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_9103452092567840",14,0,0,0,0,14,0,0,0,0,14,0,0,0,14
"2017-01-13","seek02_109093743383495",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_11309367693244192",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_1888247522446300",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_5343968681353553",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_2516638065569648",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-08","seek021483818937560",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818925580",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818477750",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818474701",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-08","seek021483818468269",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-10","seek021484030807380",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-10","seek021484030804056",0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,1,0.05
"2017-01-10","seek021484030798658",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-10","seek021484019475658",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484255701545",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484253334887",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"2017-01-13","seek021484252912324",0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,20,0.01
"合计","-",649,14.3,36,0,302.8599999999999,296,0,0,0,0,598.7,0,0.16000000000000003,221,598.86
