"时间","订单编号","总价","优惠","次卡","挂帐金额","现金","微信","支付宝","刷卡","校园卡","会员卡","应收","抹零","充值金额","充值赠送","实收"
"2016-11-28","seek027043985321294423",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-07","seek027043901020994423",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-08","seek027043901021294423",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-23","seek0211499520311484966",36,0,0,0,0,36,0,0,0,0,36,0,0,0,36
"2016-12-23","seek0220161223003",18,12.6,0,0,5.4,0,0,0,0,0,5.4,0,0,0,5.4
"2016-12-23","seek0220161223002",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-23","seek025017792497795319",29,0,0,0,0,29,0,0,0,0,29,0,0,0,29
"2016-12-23","seek0214606124333838350",26,0,0,0,0,26,0,0,0,0,26,0,0,0,26
"2016-12-24","seek0220161224009",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-24","seek0220161224008",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-24","seek0220161224007",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-24","seek0220161224006",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-24","seek0220161224005",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2016-12-22","seek027043985612317233",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-22","seek027043985612317323",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-22","seek0270439856123194423",65,0,0,0,0,65,0,0,0,0,65,0,0,0,65
"2016-12-25","seek02368_20161225003",36,0,0,0,36,0,0,0,0,0,36,0,0,0,36
"2016-12-25","seek02848_20161225002",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-25","seek02739_20161225001",36,0,0,0,0,0,0,0,0,0,36,0,0,0,0
"2016-12-25","seek02691_20161225012",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-25","seek02243_20161225011",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2016-12-25","seek02897_20161225010",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"合计","-",733.05,12.6,0,0,203.45,481,0,0,0,0,720.45,0,0,0,684.45
